Player,Tm,Salary 2016-17
LeBron James,CLE,30963450.00
Mike Conley,MEM,26540100.00
DeMar DeRozan,TOR,26540100.00
James Harden,HOU,26540100.00
Al Horford,BOS,26540100.00
Russell Westbrook,OKC,26540100.00
Kevin Durant,GSW,26540100.00
Dirk Nowitzki,DAL,25000000.00
Carmelo Anthony,NYK,24559380.00
Damian Lillard,POR,24328425.00
Chris Bosh,MIA,23741060.00
Dwyane Wade,CHI,23200000.00
Dwight Howard,ATL,23180275.00
Chris Paul,LAC,22868828.00
Bradley Beal,WAS,22116750.00
Anthony Davis,NOP,22116750.00
Andre Drummond,DET,22116750.00
Chandler Parsons,MEM,22116750.00
Hassan Whiteside,MIA,22116750.00
Harrison Barnes,DAL,22116750.00
Derrick Rose,NYK,21323250.00
Marc Gasol,MEM,21165675.00
Kevin Love,CLE,21165675.00
DeAndre Jordan,LAC,21165675.00
Brook Lopez,BRK,21165675.00
Nicolas Batum,CHO,20869566.00
LaMarcus Aldridge,SAS,20575005.00
Blake Griffin,LAC,20140838.00
Paul Millsap,ATL,20072033.00
Ryan Anderson,HOU,18735364.00
Allen Crabbe,POR,18500000.00
Paul George,IND,18314532.00
Luol Deng,LAL,18000000.00
Kawhi Leonard,SAS,17638063.00
Kyrie Irving,CLE,17638063.00
Jimmy Butler,CHI,17552209.00
Tobias Harris,DET,17200000.00
Enes Kanter,OKC,17145838.00
Wesley Matthews,DAL,17100000.00
Greg Monroe,MIL,17100000.00
Evan Fournier,ORL,17000000.00
Joakim Noah,NYK,17000000.00
Bismack Biyombo,ORL,17000000.00
John Wall,WAS,16957900.00
DeMarcus Cousins,SAC,16957900.00
Klay Thompson,GSW,16663575.00
Evan Turner,POR,16393443.00
Gordon Hayward,UTA,16073140.00
Timofey Mozgov,LAL,16000000.00
Ian Mahinmi,WAS,15944154.00
Goran Dragic,MIA,15890000.00
Kent Bazemore,ATL,15730338.00
Pau Gasol,SAS,15500000.00
Draymond Green,GSW,15330435.00
Tristan Thompson,CLE,15330435.00
Khris Middleton,MIL,15200000.00
Danilo Gallinari,DEN,15050000.00
Jeff Green,ORL,15000000.00
Reggie Jackson,DET,14956522.00
Tony Parker,SAS,14445313.00
Jonas Valanciunas,TOR,14382022.00
DeMarre Carroll,TOR,14200000.00
Thaddeus Young,IND,14153652.00
Eric Bledsoe,PHO,14000000.00
Rajon Rondo,CHI,14000000.00
Manu Ginobili,SAS,14000000.00
Ricky Rubio,MIN,13550000.00
Rudy Gay,SAC,13333333.00
Jamal Crawford,LAC,13253012.00
Robin Lopez,CHI,13219250.00
Michael Kidd-Gilchrist,CHO,13000000.00
J.R. Smith,CLE,12800000.00
Brandon Knight,PHO,12606250.00
John Henson,MIL,12517606.00
Jordan Clarkson,LAL,12500000.00
Miles Plumlee,CHO,12500000.00
